epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3615.05,0,104.335,0,0,0,0,0,0,180.711,0,0.00033114,0.00033114,0.00033114
2,13444.1,0,72.0296,0,0,0,0,0,0,121.137,0,0.000651317,0.000651317,0.000651317
